==============================================================================
전략 고정번호 적중 목록 — 21~1235회 (맞은 것만)
==============================================================================
각 회차 직전 20회 데이터로 고정번호 후보를 재현하고, 그 회차 실제 당첨번호와 대조
🎲합계정밀·🤫분배회피는 고정번호가 없는 전략이라 대상에서 제외

    회차 |     날짜     |     맞은 번호 | 그 번호를 집은 전략
------------------------------------------------------------------------------
  1235 | 2026-08-01 |         7 | ✨최약끝수
  1235 | 2026-08-01 |        15 | 🔁이월수
  1235 | 2026-08-01 |        43 | 🔁이월수
  1234 | 2026-07-25 |        15 | 🎯보너스추적
  1233 | 2026-07-18 |         7 | 🚀미출현폭탄, ✨최약끝수
  1233 | 2026-07-18 |        37 | ✨최약끝수
  1233 | 2026-07-18 |        40 | 🚀미출현폭탄
  1232 | 2026-07-11 |        15 | 🎯보너스추적, 🔄휴식회귀
  1230 | 2026-06-27 |        42 | 🔁이월수
  1229 | 2026-06-20 |        12 | 🚀미출현폭탄
  1229 | 2026-06-20 |        13 | 🎯보너스추적
  1229 | 2026-06-20 |        29 | 🔁이월수
  1228 | 2026-06-13 |        30 | ✨최약끝수
  1228 | 2026-06-13 |        44 | 🔁이월수
  1227 | 2026-06-06 |        14 | ✨최약끝수
  1227 | 2026-06-06 |        34 | ✨최약끝수
  1227 | 2026-06-06 |        41 | 🎯보너스추적
  1227 | 2026-06-06 |        44 | ✨최약끝수
  1226 | 2026-05-30 |         4 | ✨최약끝수
  1226 | 2026-05-30 |        26 | 🎯보너스추적
  1226 | 2026-05-30 |        28 | 🎯보너스추적
  1225 | 2026-05-23 |         9 | 🔁이월수, ✨최약끝수
  1225 | 2026-05-23 |        19 | ✨최약끝수
  1224 | 2026-05-16 |         9 | 🎯보너스추적, ✨최약끝수
  1224 | 2026-05-16 |        18 | 🔁이월수
  1224 | 2026-05-16 |        27 | 🔄휴식회귀
  1223 | 2026-05-09 |        16 | 🎯보너스추적
  1223 | 2026-05-09 |        32 | 🔁이월수
  1223 | 2026-05-09 |        39 | ✨최약끝수
  1222 | 2026-05-02 |         4 | 🚀미출현폭탄, ✨최약끝수
  1221 | 2026-04-25 |        28 | 🔁이월수
  1220 | 2026-04-18 |         2 | 🔁이월수
  1220 | 2026-04-18 |        25 | 🎯보너스추적
  1220 | 2026-04-18 |        28 | 🔁이월수
  1220 | 2026-04-18 |        34 | 🚀미출현폭탄, ✨최약끝수
  1220 | 2026-04-18 |        43 | 🚀미출현폭탄
  1219 | 2026-04-11 |         1 | 🔄휴식회귀
  1219 | 2026-04-11 |        28 | 🔁이월수
  1219 | 2026-04-11 |        39 | 🎯보너스추적, ✨최약끝수
  1219 | 2026-04-11 |        45 | 🔁이월수
  1218 | 2026-04-04 |        31 | 🔁이월수
  1218 | 2026-04-04 |        32 | ✨최약끝수
  1218 | 2026-04-04 |        42 | ✨최약끝수
  1217 | 2026-03-28 |        10 | 🔁이월수
  1217 | 2026-03-28 |        15 | 🔁이월수
  1216 | 2026-03-21 |        14 | 🎯보너스추적, 🚀미출현폭탄, ✨최약끝수
  1216 | 2026-03-21 |        15 | 🔁이월수
  1216 | 2026-03-21 |        24 | ✨최약끝수
  1215 | 2026-03-14 |        13 | 🚀미출현폭탄
  1215 | 2026-03-14 |        15 | 🔁이월수
  1215 | 2026-03-14 |        19 | 🔁이월수
  1215 | 2026-03-14 |        44 | ✨최약끝수
  1215 | 2026-03-14 |        45 | 🎯보너스추적
  1214 | 2026-03-07 |        10 | 🎯보너스추적
  1214 | 2026-03-07 |        19 | 🚀미출현폭탄, ✨최약끝수
  1214 | 2026-03-07 |        27 | 🔁이월수
  1213 | 2026-02-28 |         5 | 🔁이월수
  1213 | 2026-02-28 |        11 | 🚀미출현폭탄
  1213 | 2026-02-28 |        25 | 🔁이월수
  1212 | 2026-02-21 |        31 | 🎯보너스추적
  1211 | 2026-02-14 |        27 | 🔁이월수
  1211 | 2026-02-14 |        38 | 🔁이월수
  1210 | 2026-02-07 |        17 | 🔁이월수
  1210 | 2026-02-07 |        38 | ✨최약끝수
  1209 | 2026-01-31 |         2 | ✨최약끝수
  1208 | 2026-01-24 |        27 | 🔁이월수
  1208 | 2026-01-24 |        38 | 🔁이월수, ✨최약끝수
  1207 | 2026-01-17 |        27 | 🎯보너스추적, 🔁이월수
  1207 | 2026-01-17 |        38 | ✨최약끝수
  1206 | 2026-01-10 |         1 | 🔁이월수
  1206 | 2026-01-10 |        17 | 🚀미출현폭탄
  1206 | 2026-01-10 |        27 | 🎯보너스추적
  1206 | 2026-01-10 |        42 | 🚀미출현폭탄, ✨최약끝수
  1205 | 2026-01-03 |         1 | ✨최약끝수
  1205 | 2026-01-03 |        16 | 🔁이월수
  1205 | 2026-01-03 |        31 | 🔁이월수, ✨최약끝수
  1205 | 2026-01-03 |        41 | ✨최약끝수
  1204 | 2025-12-27 |        30 | ✨최약끝수
  1204 | 2025-12-27 |        44 | 🚀미출현폭탄
  1203 | 2025-12-20 |        18 | 🚀미출현폭탄, ✨최약끝수
  1202 | 2025-12-13 |        37 | 🎯보너스추적
